experiment_id,family_id,mechanism,feature_causality_pass,parameters,N,mean_pips,PF,expectancy_R,stress_pips,remove_best_pips,status,reason
M2_E011,F20a,time-since-extreme acceptance,PASS,"F20a accepted-extreme cont (age>=20, posn>=.90/<=.10); screen fwd-mid h=30/60/240",9175,-0.258,,,,,REJECT,"mean ~0/neg, 2-4/8 pos years | h240={'N': 9175, 'posYR': '2/8', 'meanYR': -0.258, 'minYR': -1.599, 'maxYR': 1.239, 'Lmean': -0.471, 'Smean': -0.102} h30={'N': 26330, 'posYR': '3/8', 'meanYR': -0.012, 'minYR': -0.232, 'maxYR': 0.195, 'Lmean': -0.011, 'Smean': -0.032}"
M2_E012,F17,post-spike deep-retrace fade,PASS,thr=0.6666666666666666 SL15/TP15/T240min,5858,-0.23,0.964,-0.0153,-1.289,-0.495,REJECT,"2010-2017 tick-exact: 2/8 pos years, stressC 0/8 PF 0.964; gross screen +1.05p@240m consumed by ~1.2p execution cost; plateau negative at every threshold/bracket -> family dead after costs"
M2_E013,F17,post-spike deep-retrace fade,PASS,thr=0.6 SL15/TP15/T240min,6700,-0.291,0.955,-0.0194,-1.297,-0.543,REJECT,"2010-2017 tick-exact: 2/8 pos years, stressC 0/8 PF 0.955; gross screen +1.05p@240m consumed by ~1.2p execution cost; plateau negative at every threshold/bracket -> family dead after costs"
M2_E014,F17,post-spike deep-retrace fade,PASS,thr=0.75 SL15/TP15/T240min,4883,-0.275,0.956,-0.0183,-1.317,-0.536,REJECT,"2010-2017 tick-exact: 2/8 pos years, stressC 0/8 PF 0.956; gross screen +1.05p@240m consumed by ~1.2p execution cost; plateau negative at every threshold/bracket -> family dead after costs"
M2_E015,F17,post-spike deep-retrace fade,PASS,thr=0.6666666666666666 SL15/TP15/T120min,6723,-0.257,0.95,-0.0171,-1.275,-0.531,REJECT,"2010-2017 tick-exact: 1/8 pos years, stressC 0/8 PF 0.95; gross screen +1.05p@240m consumed by ~1.2p execution cost; plateau negative at every threshold/bracket -> family dead after costs"
M2_E016,F17,post-spike deep-retrace fade,PASS,thr=0.6666666666666666 SL10/TP10/T240min,6603,-0.355,0.927,-0.0355,-1.402,-0.552,REJECT,"2010-2017 tick-exact: 2/8 pos years, stressC 0/8 PF 0.927; gross screen +1.05p@240m consumed by ~1.2p execution cost; plateau negative at every threshold/bracket -> family dead after costs"
M2_E017,F17,post-spike deep-retrace fade,PASS,thr=0.6666666666666666 SL20/TP20/T240min,5503,-0.127,0.983,-0.0063,-1.056,-0.442,REJECT,"2010-2017 tick-exact: 3/8 pos years, stressC 0/8 PF 0.983; gross screen +1.05p@240m consumed by ~1.2p execution cost; plateau negative at every threshold/bracket -> family dead after costs"
M2_E018,F16,tick-flow imbalance continuation,PASS,imb15>=0.25 SL15/TP15/T240min,1446,-1.271,0.816,-0.0847,-2.678,-1.505,REJECT,"2010-2017 tick-exact negative 0/8 pos years, 0/8 stress years; screen gross +0.6p << costs"
M2_E019,F14,spread-state transitions,PASS,long-horizon screens h=480/960 (comp-cont + exp-fade),nan,,,,,,REJECT,gross degrades with horizon (F14a h960 L/S opposite signs); dead after costs at every horizon
M2_E020,F16,tick-flow imbalance continuation,PASS,long-horizon screens h=480/960 (imb15 cont),nan,,,,,,REJECT,h960 meanYR -3.1 with -20.7/+8.2 year dispersion; untradeable
M2_E021,F17a,post-spike shallow-retrace continuation,PASS,long-horizon screens h=480/960,nan,,,,,,REJECT,negative at every horizon both sides; mirror coherence with F17b
M2_E022,F17b,post-spike deep-retrace fade,PASS,long-horizon screens h=480/960,nan,,,,,,REJECT,"h480 +0.46 4/8yr; h960 +1.90 5/8yr BUT max year +17.7 vs min -4.4 (single-year profit concentration, §10) and L 3.5 >> S 0.3; even gross-cost ~+0.7 < 0.75 bar -> no freeze"
